parameters,simulationID,total,total_traced,total_not_traced,handled,handled_no_sla,dropped,avg_queue_time,avg_call_time,avg_drop_time,no_sla_ratio,drop_ratio
03-0.5-480-30-10-03-10-15-05,1,241,227,14,139,85,88,11.704347826086957,10.129496402877697,10.977272727272727,0.6115107913669064,0.3876651982378855
03-0.5-480-30-10-03-10-15-05,2,232,222,10,142,77,80,10.666666666666666,9.82394366197183,10.9,0.5422535211267606,0.36036036036036034
03-0.5-480-30-10-03-10-15-05,3,219,211,8,144,75,67,10.771028037383177,9.847222222222221,10.82089552238806,0.5208333333333334,0.3175355450236967
03-0.5-480-30-10-03-10-15-05,4,237,228,9,149,86,79,10.74891774891775,9.563758389261745,10.354430379746836,0.5771812080536913,0.34649122807017546
03-0.5-480-30-10-03-10-15-05,5,266,258,8,142,106,116,11.789272030651341,9.887323943661972,11.14655172413793,0.7464788732394366,0.4496124031007752
03-0.5-480-30-10-03-10-15-05,6,226,221,5,143,101,78,11.620535714285714,9.888111888111888,11.5,0.7062937062937062,0.35294117647058826
03-0.5-480-30-10-03-10-15-05,7,255,247,8,140,95,107,11.592,10.07857142857143,11.0,0.6785714285714286,0.4331983805668016
03-0.5-480-30-10-03-10-15-05,8,251,245,6,142,103,103,11.766129032258064,9.943661971830986,11.25242718446602,0.7253521126760564,0.4204081632653061
03-0.5-480-30-10-03-10-15-05,9,241,229,12,140,93,89,11.280172413793103,10.135714285714286,11.348314606741573,0.6642857142857143,0.388646288209607
03-0.5-480-30-10-03-10-15-05,10,218,210,8,141,71,69,10.338028169014084,10.049645390070921,10.043478260869565,0.5035460992907801,0.32857142857142857
03-0.5-480-30-10-03-10-15-05,11,215,204,11,143,67,61,10.115942028985508,9.874125874125873,10.278688524590164,0.46853146853146854,0.29901960784313725
03-0.5-480-30-10-03-10-15-05,12,237,230,7,137,104,93,11.896995708154506,10.408759124087592,11.301075268817204,0.7591240875912408,0.4043478260869565
03-0.5-480-30-10-03-10-15-05,13,255,245,10,147,98,98,11.431451612903226,9.591836734693878,10.959183673469388,0.6666666666666666,0.4
03-0.5-480-30-10-03-10-15-05,14,232,226,6,142,97,84,11.903930131004367,10.0,11.833333333333334,0.6830985915492958,0.37168141592920356
03-0.5-480-30-10-03-10-15-05,15,232,223,9,135,83,88,11.176991150442477,10.540740740740741,11.181818181818182,0.6148148148148148,0.39461883408071746
03-0.5-480-30-10-03-10-15-05,16,246,230,16,141,88,89,11.407725321888412,10.0,11.0561797752809,0.624113475177305,0.3869565217391304
03-0.5-480-30-10-03-10-15-05,17,234,224,10,143,96,81,11.330396475770925,9.895104895104895,10.765432098765432,0.6713286713286714,0.36160714285714285
03-0.5-480-30-10-03-10-15-05,18,225,218,7,137,84,81,11.14027149321267,10.277372262773723,10.469135802469136,0.6131386861313869,0.37155963302752293
03-0.5-480-30-10-03-10-15-05,19,236,233,3,147,84,86,10.754237288135593,9.646258503401361,10.779069767441861,0.5714285714285714,0.36909871244635195
03-0.5-480-30-10-03-10-15-05,20,247,235,12,138,101,97,11.672268907563025,10.231884057971014,11.309278350515465,0.7318840579710145,0.4127659574468085
03-0.5-480-30-10-03-10-15-05,21,241,227,14,138,93,89,11.547826086956523,10.144927536231885,11.03370786516854,0.6739130434782609,0.3920704845814978
03-0.5-480-30-10-03-10-15-05,22,244,235,9,139,110,96,11.978991596638656,10.06474820143885,11.229166666666666,0.7913669064748201,0.4085106382978723
03-0.5-480-30-10-03-10-15-05,23,252,242,10,144,96,98,11.138775510204082,9.743055555555555,10.13265306122449,0.6666666666666666,0.4049586776859504
03-0.5-480-30-10-03-10-15-05,24,247,238,9,144,84,94,11.302904564315353,9.770833333333334,11.27659574468085,0.5833333333333334,0.3949579831932773
03-0.5-480-30-10-03-10-15-05,25,258,252,6,139,97,113,11.509803921568627,10.115107913669064,10.991150442477876,0.697841726618705,0.44841269841269843
03-0.5-480-30-10-03-10-15-05,26,238,230,8,144,105,86,11.53648068669528,9.70138888888889,10.779069767441861,0.7291666666666666,0.3739130434782609
03-0.5-480-30-10-03-10-15-05,27,237,232,5,141,82,91,10.553191489361701,9.943262411347519,10.252747252747254,0.5815602836879432,0.3922413793103448
03-0.5-480-30-10-03-10-15-05,28,242,235,7,138,102,97,11.655462184873949,10.210144927536232,10.742268041237113,0.7391304347826086,0.4127659574468085
03-0.5-480-30-10-03-10-15-05,29,251,236,15,134,94,102,11.861924686192468,10.522388059701493,11.352941176470589,0.7014925373134329,0.4322033898305085
03-0.5-480-30-10-03-10-15-05,30,232,220,12,137,94,83,11.72645739910314,10.291970802919709,11.036144578313253,0.6861313868613139,0.37727272727272726
06-0.5-480-30-10-03-10-15-05,1,234,230,4,230,0,0,0.9829059829059829,10.117391304347827,,0.0,0.0
06-0.5-480-30-10-03-10-15-05,2,240,235,5,235,0,0,0.8875,9.906382978723403,,0.0,0.0
06-0.5-480-30-10-03-10-15-05,3,225,220,5,219,1,1,1.8222222222222222,10.06392694063927,8.0,0.0045662100456621,0.004545454545454545
06-0.5-480-30-10-03-10-15-05,4,231,225,6,223,0,2,0.6363636363636364,10.01793721973094,3.5,0.0,0.008888888888888889
06-0.5-480-30-10-03-10-15-05,5,241,237,4,236,0,1,1.2199170124481329,9.826271186440678,3.0,0.0,0.004219409282700422
06-0.5-480-30-10-03-10-15-05,6,240,237,3,235,1,2,1.4375,9.88936170212766,4.5,0.00425531914893617,0.008438818565400843
06-0.5-480-30-10-03-10-15-05,7,222,219,3,219,0,0,0.42792792792792794,9.65296803652968,,0.0,0.0
06-0.5-480-30-10-03-10-15-05,8,232,227,5,227,0,0,0.5517241379310345,9.687224669603523,,0.0,0.0
06-0.5-480-30-10-03-10-15-05,9,253,248,5,244,2,4,2.6363636363636362,10.307377049180328,6.5,0.00819672131147541,0.016129032258064516
06-0.5-480-30-10-03-10-15-05,10,233,229,4,229,0,0,0.7854077253218884,10.126637554585153,,0.0,0.0
06-0.5-480-30-10-03-10-15-05,11,262,252,10,251,0,1,2.0348837209302326,9.9800796812749,1.0,0.0,0.003968253968253968
06-0.5-480-30-10-03-10-15-05,12,247,243,4,242,0,1,1.611336032388664,9.96694214876033,8.0,0.0,0.00411522633744856
06-0.5-480-30-10-03-10-15-05,13,251,246,5,243,1,3,1.7290836653386454,9.987654320987655,6.0,0.00411522633744856,0.012195121951219513
06-0.5-480-30-10-03-10-15-05,14,218,213,5,213,0,0,0.573394495412844,10.173708920187794,,0.0,0.0
06-0.5-480-30-10-03-10-15-05,15,253,244,9,240,0,4,1.32,10.0375,3.5,0.0,0.01639344262295082
06-0.5-480-30-10-03-10-15-05,16,232,229,3,227,0,2,0.7543103448275862,10.422907488986784,3.0,0.0,0.008733624454148471
06-0.5-480-30-10-03-10-15-05,17,235,230,5,229,0,1,0.8468085106382979,10.013100436681222,4.0,0.0,0.004347826086956522
06-0.5-480-30-10-03-10-15-05,18,239,235,4,232,1,3,1.6945606694560669,10.275862068965518,5.0,0.004310344827586207,0.01276595744680851
06-0.5-480-30-10-03-10-15-05,19,234,231,3,228,0,3,1.7307692307692308,9.947368421052632,4.0,0.0,0.012987012987012988
06-0.5-480-30-10-03-10-15-05,20,261,255,6,253,0,2,1.4252873563218391,9.873517786561266,5.5,0.0,0.00784313725490196
06-0.5-480-30-10-03-10-15-05,21,281,273,8,269,12,4,3.5663082437275984,10.026022304832713,7.25,0.04460966542750929,0.014652014652014652
06-0.5-480-30-10-03-10-15-05,22,246,241,5,240,0,1,1.353658536585366,9.720833333333333,3.0,0.0,0.004149377593360996
06-0.5-480-30-10-03-10-15-05,23,222,216,6,216,0,0,0.8648648648648649,10.00462962962963,,0.0,0.0
06-0.5-480-30-10-03-10-15-05,24,232,229,3,229,0,0,0.9310344827586207,9.812227074235809,,0.0,0.0
06-0.5-480-30-10-03-10-15-05,25,222,217,5,217,0,0,0.5315315315315315,9.746543778801843,,0.0,0.0
06-0.5-480-30-10-03-10-15-05,26,218,214,4,213,0,1,1.055045871559633,9.793427230046948,5.0,0.0,0.004672897196261682
06-0.5-480-30-10-03-10-15-05,27,237,233,4,232,0,1,0.4936708860759494,9.758620689655173,1.0,0.0,0.004291845493562232
06-0.5-480-30-10-03-10-15-05,28,233,229,4,226,0,3,1.6523605150214593,9.946902654867257,5.333333333333333,0.0,0.013100436681222707
06-0.5-480-30-10-03-10-15-05,29,251,246,5,246,0,0,1.1832669322709164,9.674796747967479,,0.0,0.0
06-0.5-480-30-10-03-10-15-05,30,230,225,5,222,0,3,1.126086956521739,10.031531531531531,4.333333333333333,0.0,0.013333333333333334
09-0.5-480-30-10-03-10-15-05,1,238,235,3,235,0,0,0.012605042016806723,10.136170212765958,,0.0,0.0
09-0.5-480-30-10-03-10-15-05,2,218,212,6,212,0,0,0.027522935779816515,10.160377358490566,,0.0,0.0
09-0.5-480-30-10-03-10-15-05,3,224,218,6,218,0,0,0.022321428571428572,10.325688073394495,,0.0,0.0
09-0.5-480-30-10-03-10-15-05,4,241,235,6,235,0,0,0.02074688796680498,9.757446808510638,,0.0,0.0
09-0.5-480-30-10-03-10-15-05,5,226,222,4,222,0,0,0.0,9.896396396396396,,0.0,0.0
09-0.5-480-30-10-03-10-15-05,6,240,232,8,232,0,0,0.020833333333333332,9.900862068965518,,0.0,0.0
09-0.5-480-30-10-03-10-15-05,7,229,222,7,222,0,0,0.039301310043668124,10.17117117117117,,0.0,0.0
09-0.5-480-30-10-03-10-15-05,8,236,232,4,232,0,0,0.046610169491525424,10.047413793103448,,0.0,0.0
09-0.5-480-30-10-03-10-15-05,9,249,243,6,243,0,0,0.060240963855421686,9.983539094650206,,0.0,0.0
09-0.5-480-30-10-03-10-15-05,10,244,239,5,239,0,0,0.01639344262295082,10.460251046025105,,0.0,0.0
09-0.5-480-30-10-03-10-15-05,11,219,213,6,213,0,0,0.0182648401826484,9.924882629107982,,0.0,0.0
09-0.5-480-30-10-03-10-15-05,12,260,253,7,253,0,0,0.17307692307692307,10.019762845849803,,0.0,0.0
09-0.5-480-30-10-03-10-15-05,13,218,214,4,214,0,0,0.0045871559633027525,10.205607476635514,,0.0,0.0
09-0.5-480-30-10-03-10-15-05,14,249,243,6,243,0,0,0.012048192771084338,9.814814814814815,,0.0,0.0
09-0.5-480-30-10-03-10-15-05,15,240,235,5,235,0,0,0.0375,10.059574468085106,,0.0,0.0
09-0.5-480-30-10-03-10-15-05,16,234,227,7,227,0,0,0.042735042735042736,9.374449339207048,,0.0,0.0
09-0.5-480-30-10-03-10-15-05,17,219,214,5,214,0,0,0.0273972602739726,9.61214953271028,,0.0,0.0
09-0.5-480-30-10-03-10-15-05,18,242,231,11,231,0,0,0.0125,9.943722943722944,,0.0,0.0
09-0.5-480-30-10-03-10-15-05,19,235,231,4,231,0,0,0.0851063829787234,10.012987012987013,,0.0,0.0
09-0.5-480-30-10-03-10-15-05,20,246,240,6,240,0,0,0.012195121951219513,9.9375,,0.0,0.0
09-0.5-480-30-10-03-10-15-05,21,259,255,4,254,0,1,0.07722007722007722,9.854330708661417,1.0,0.0,0.00392156862745098
09-0.5-480-30-10-03-10-15-05,22,235,228,7,228,0,0,0.06382978723404255,10.162280701754385,,0.0,0.0
09-0.5-480-30-10-03-10-15-05,23,232,228,4,228,0,0,0.03879310344827586,10.50438596491228,,0.0,0.0
09-0.5-480-30-10-03-10-15-05,24,236,233,3,233,0,0,0.059322033898305086,9.866952789699571,,0.0,0.0
09-0.5-480-30-10-03-10-15-05,25,232,227,5,227,0,0,0.0,9.832599118942731,,0.0,0.0
09-0.5-480-30-10-03-10-15-05,26,235,231,4,231,0,0,0.05531914893617021,9.987012987012987,,0.0,0.0
09-0.5-480-30-10-03-10-15-05,27,235,232,3,232,0,0,0.02553191489361702,9.987068965517242,,0.0,0.0
09-0.5-480-30-10-03-10-15-05,28,222,216,6,216,0,0,0.06756756756756757,10.078703703703704,,0.0,0.0
